Posição,Música,Artista,Data de Extração
1,Not Like Us,Kendrick Lamar,2025-02-22
2,Luther,Kendrick Lamar & SZA,2025-02-22
3,TV Off,Kendrick Lamar Featuring Lefty Gunplay,2025-02-22
4,Die With A Smile,Lady Gaga & Bruno Mars,2025-02-22
5,Squabble Up,Kendrick Lamar,2025-02-22
6,Birds Of A Feather,Billie Eilish,2025-02-22
7,APT.,ROSE & Bruno Mars,2025-02-22
8,A Bar Song (Tipsy),Shaboozey,2025-02-22
9,Pink Pony Club,Chappell Roan,2025-02-22
10,30 For 30,SZA With Kendrick Lamar,2025-02-22
11,Beautiful Things,Benson Boone,2025-02-22
12,Lose Control,Teddy Swims,2025-02-22
13,Abracadabra,Lady Gaga,2025-02-22
14,All The Stars,Kendrick Lamar & SZA,2025-02-22
15,That's So True,Gracie Abrams,2025-02-22
16,Timeless,The Weeknd & Playboi Carti,2025-02-22
17,Love Somebody,Morgan Wallen,2025-02-22
18,Espresso,Sabrina Carpenter,2025-02-22
19,I'm The Problem,Morgan Wallen,2025-02-22
20,I Had Some Help,Post Malone Featuring Morgan Wallen,2025-02-22
21,Denial Is A River,Doechii,2025-02-22
22,Messy,Lola Young,2025-02-22
23,"Good Luck, Babe!",Chappell Roan,2025-02-22
24,Taste,Sabrina Carpenter,2025-02-22
25,DTMF,Bad Bunny,2025-02-22
26,Too Sweet,Hozier,2025-02-22
27,Cry For Me,The Weeknd,2025-02-22
28,Peekaboo,Kendrick Lamar Featuring AzChike,2025-02-22
29,Wildflower,Billie Eilish,2025-02-22
30,Stargazing,Myles Smith,2025-02-22
31,Tweaker,GELO,2025-02-22
32,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",2025-02-22
33,Humble.,Kendrick Lamar,2025-02-22
34,BMF,SZA,2025-02-22
35,High Road,Koe Wetzel & Jessie Murph,2025-02-22
36,Baile Inolvidable,Bad Bunny,2025-02-22
37,Sailor Song,Gigi Perez,2025-02-22
38,Smile,Morgan Wallen,2025-02-22
39,Bed Chem,Sabrina Carpenter,2025-02-22
40,Who,Jimin,2025-02-22
41,Sports Car,Tate McRae,2025-02-22
42,Liar,Jelly Roll,2025-02-22
43,No One Noticed,The Marias,2025-02-22
44,Whatchu Kno About Me,GloRilla & Sexyy Red,2025-02-22
45,Like That,"Future, Metro Boomin & Kendrick Lamar",2025-02-22
46,Fat Juicy & Wet,Sexyy Red & Bruno Mars,2025-02-22
47,Please Please Please,Sabrina Carpenter,2025-02-22
48,Nuevayol,Bad Bunny,2025-02-22
49,I Never Lie,Zach Top,2025-02-22
50,4x4xU,Lainey Wilson,2025-02-22
51,I'm Gonna Love You,Cody Johnson & Carrie Underwood,2025-02-22
52,Loco,Neton Vega,2025-02-22
53,Indigo,Sam Barber Featuring Avery Anna,2025-02-22
54,Residuals,Chris Brown,2025-02-22
55,Twenties,Giveon,2025-02-22
56,Hey Now,Kendrick Lamar Featuring Dody6,2025-02-22
57,Good News,Shaboozey,2025-02-22
58,Like Him,"Tyler, The Creator Featuring Lola Young",2025-02-22
59,Bad Dreams,Teddy Swims,2025-02-22
60,Voy A Llevarte Pa PR,Bad Bunny,2025-02-22
61,Ordinary,Alex Warren,2025-02-22
62,I Ain't Sayin',Jordan Davis,2025-02-22
63,Hard Fought Hallelujah,Brandon Lake,2025-02-22
64,4X4,Travis Scott,2025-02-22
65,EOO,Bad Bunny,2025-02-22
66,Am I Okay?,Megan Moroney,2025-02-22
67,Guy For That,Post Malone Featuring Luke Combs,2025-02-22
68,Born Again,LISA Featuring Doja Cat & RAYE,2025-02-22
69,Que Pasaria...,Rauw Alejandro & Bad Bunny,2025-02-22
70,Velda,"Bad Bunny, Omar Courtz & Dei V",2025-02-22
71,Heart Of A Woman,Summer Walker,2025-02-22
72,Diet Pepsi,Addison Rae,2025-02-22
73,Nissan Altima,Doechii,2025-02-22
74,Sao Paulo,The Weeknd & Anitta,2025-02-22
75,Tu Boda,Oscar Maydon & Fuerza Regida,2025-02-22
76,Burning Down,Alex Warren,2025-02-22
77,Wacced Out Murals,Kendrick Lamar,2025-02-22
78,The Largest,BigXthaPlug,2025-02-22
79,No Pole,Don Toliver,2025-02-22
80,Euphoria,Kendrick Lamar,2025-02-22
81,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",2025-02-22
82,El Club,Bad Bunny,2025-02-22
83,Headlock,Imogen Heap,2025-02-22
84,Backseat Driver,Kane Brown,2025-02-22
85,Are You Even Real,Teddy Swims & GIVEON,2025-02-22
86,Baptized In Fear,The Weeknd,2025-02-22
87,Worst Way,Riley Green,2025-02-22
88,Guess,Charli xcx Featuring Billie Eilish,2025-02-22
89,Khe?,Rauw Alejandro & Romeo Santos,2025-02-22
90,Mutt,Leon Thomas,2025-02-22
91,Nadie,Tito Double P,2025-02-22
92,Forever Young,"David Guetta, Alphaville & Ava Max",2025-02-22
93,The Greatest,Billie Eilish,2025-02-22
94,Open Hearts,The Weeknd,2025-02-22
95,Haunted,Kane Brown With Jelly Roll,2025-02-22
96,Push 2 Start,Tyla,2025-02-22
97,Rosones,Tito Double P,2025-02-22
98,Weren't For The Wind,Ella Langley,2025-02-22
99,The Days,CHRYSTAL,2025-02-22
100,Weltita,Bad Bunny & Chuwi,2025-02-22
